column,source_load,filled_cells
ADCM_SAS7BDAT_PARAMCD_CORTICO_AVALC,BASE_ROW,784
ADCM_SAS7BDAT_PARAMCD_CYCLOSPO_AVALC,BASE_ROW,784
ADCM_SAS7BDAT_PARAMCD_GOLIMUMA_AVALC,BASE_ROW,784
ADCM_SAS7BDAT_PARAMCD_IMMUMED_AVALC,BASE_ROW,784
ADCM_SAS7BDAT_PARAMCD_INFLIXIM_AVALC,BASE_ROW,783
ADCM_SAS7BDAT_PARAMCD_MESALAMI_AVALC,BASE_ROW,784
ADCM_SAS7BDAT_PARAMCD_METHOTRE_AVALC,BASE_ROW,784
ADCM_SAS7BDAT_PARAMCD_METRONID_AVALC,BASE_ROW,784
ADCM_SAS7BDAT_PARAMCD_MYCOPHEN_AVALC,BASE_ROW,784
ADCM_SAS7BDAT_PARAMCD_OLSALAZI_AVALC,BASE_ROW,784
ADCM_SAS7BDAT_PARAMCD_RIFAXIMI_AVALC,BASE_ROW,784
ADCM_SAS7BDAT_PARAMCD_SIROLIMU_AVALC,BASE_ROW,784
ADCM_SAS7BDAT_PARAMCD_SIX_MP_AVALC,BASE_ROW,784
ADCM_SAS7BDAT_PARAMCD_SULFASAL_AVALC,BASE_ROW,784
ADCM_SAS7BDAT_PARAMCD_TACROLIM_AVALC,BASE_ROW,784
ADCM_SAS7BDAT_PARAMCD_UCMEDall_AVALC,BASE_ROW,783
ADCM_SAS7BDAT_PARAMCD_VEDOLIZU_AVALC,BASE_ROW,784
ADCORT_SAS7BDAT_STUDYID,BASE_ROW,783
ADCORT_SAS7BDAT_ADT,BASE_ROW,783
ADCORT_SAS7BDAT_ADY,BASE_ROW,783
ADCORT_SAS7BDAT_TRT01P,BASE_ROW,783
ADCORT_SAS7BDAT_TRT01PN,BASE_ROW,783
ADCORT_SAS7BDAT_TR01PG1,BASE_ROW,783
ADCORT_SAS7BDAT_TR01PG1N,BASE_ROW,783
ADCORT_SAS7BDAT_TRT02P,BASE_ROW,300
ADCORT_SAS7BDAT_TRT02PN,BASE_ROW,300
ADCORT_SAS7BDAT_TR02PG1,BASE_ROW,300
ADCORT_SAS7BDAT_TR02PG1N,BASE_ROW,300
ADCORT_SAS7BDAT_TR02PG2N,BASE_ROW,300
ADCORT_SAS7BDAT_TR02PG2,BASE_ROW,300
ADCORT_SAS7BDAT_TRT03P,BASE_ROW,783
ADCORT_SAS7BDAT_TRT03PN,BASE_ROW,783
ADCORT_SAS7BDAT_DYPEDOSE,BASE_ROW,783
ADCORT_SAS7BDAT_DYBDOSE,BASE_ROW,783
ADCORT_SAS7BDAT_DYBPDOSE,BASE_ROW,783
ADCORT_SAS7BDAT_DYCORT,BASE_ROW,783
ADCORT_SAS7BDAT_ANL01FL,BASE_ROW,179
ADCORT_SAS7BDAT_SAFFL,BASE_ROW,783
